"","date","state_name","employees","change_in_unemp","Sector","Mob_res","Mob_res_SA","delta_Mob_res_SA","stringency_index","delta_stringency_index"
"49",2020-02-29,"Arkansas","        67.6",0.0116959064327486,"Transportation and Utilities",-3,-0.194162470182879,NA,0,0
"50",2020-02-29,"Arkansas","        66.5",-0.0121765601217656,"Other Services",-3,-0.194162470182879,NA,0,0
"51",2020-02-29,"Arkansas","       195.3",-0.00462962962962976,"Education and Health Services",-3,-0.194162470182879,NA,0,0
"52",2020-02-29,"Arkansas","       145.1",0.0135961930659415,"Professional and Business Services",-3,-0.194162470182879,NA,0,0
"53",2020-02-29,"California","       913.3",-0.00894829871851521,"Construction",-1,2.87715345878611,NA,8.33,5.55
"54",2020-02-29,"California","       593.3",-0.00798504926945287,"Other Services",-1,2.87715345878611,NA,8.33,5.55
"55",2020-02-29,"California","      1648.5",-0.000182016745540636,"Retail Trade",-1,2.87715345878611,NA,8.33,5.55
"56",2020-02-29,"California","        22.3",-0.00904977375565608,"Mining and Logging",-1,2.87715345878611,NA,8.33,5.55
"57",2020-02-29,"California","       732.2",-0.00232717316906239,"Transportation and Utilities",-1,2.87715345878611,NA,8.33,5.55
"58",2020-02-29,"California","       581.1",-0.00832899531494036,"Information",-1,2.87715345878611,NA,8.33,5.55
"59",2020-02-29,"California","      2771.3",-0.00474947429483019,"Professional and Business Services",-1,2.87715345878611,NA,8.33,5.55
"60",2020-02-29,"California","      2615.3",3.82350692054167e-05,"Government",-1,2.87715345878611,NA,8.33,5.55
"61",2020-02-29,"California","      1327.8",-0.000150647785477576,"Manufacturing",-1,2.87715345878611,NA,8.33,5.55
"62",2020-02-29,"California","       686.3",0.000291332847778603,"Wholesale Trade",-1,2.87715345878611,NA,8.33,5.55
"63",2020-02-29,"California","      2058.2",-0.00131354901483816,"Leisure and Hospitality",-1,2.87715345878611,NA,8.33,5.55
"64",2020-02-29,"California","       848.8",-0.00165211234363927,"Financial Activities",-1,2.87715345878611,NA,8.33,5.55
"65",2020-02-29,"California","      2862.5",-0.00111915503794635,"Education and Health Services",-1,2.87715345878611,NA,8.33,5.55
"66",2020-02-29,"Colorado","       176.1",-0.00170648464163814,"Financial Activities",-1,2.56537900874636,NA,5.56,5.56
"67",2020-02-29,"Colorado","       179.3",0.00333518621456363,"Construction",-1,2.56537900874636,NA,5.56,5.56
"68",2020-02-29,"Colorado","       271.6",0.001470588235294,"Retail Trade",-1,2.56537900874636,NA,5.56,5.56
"69",2020-02-29,"Colorado","        26.2",0.0113207547169811,"Mining and Logging",-1,2.56537900874636,NA,5.56,5.56
"70",2020-02-29,"Colorado","       111.7",-0.000896057347670398,"Wholesale Trade",-1,2.56537900874636,NA,5.56,5.56
"71",2020-02-29,"Colorado","        78.0",0,"Information",-1,2.56537900874636,NA,5.56,5.56
"72",2020-02-29,"Colorado","       353.9",0.0008469791078487,"Education and Health Services",-1,2.56537900874636,NA,5.56,5.56
"73",2020-02-29,"Colorado","       151.6",-0.00132100396301182,"Manufacturing",-1,2.56537900874636,NA,5.56,5.56
"74",2020-02-29,"Colorado","        99.3",-0.00201816347124129,"Transportation and Utilities",-1,2.56537900874636,NA,5.56,5.56
"75",2020-02-29,"Colorado","       115.7",-0.000865051903114367,"Other Services",-1,2.56537900874636,NA,5.56,5.56
"76",2020-02-29,"Colorado","       461.2",0.000433463372345066,"Government",-1,2.56537900874636,NA,5.56,5.56
"77",2020-02-29,"Colorado","       447.5",-0.00134258223316186,"Professional and Business Services",-1,2.56537900874636,NA,5.56,5.56
"78",2020-02-29,"Colorado","       346.9",0.00057620282339399,"Leisure and Hospitality",-1,2.56537900874636,NA,5.56,5.56
"79",2020-02-29,"Connecticut","        65.7",-0.00152439024390261,"Other Services",-2,3.21773124834349,NA,11.11,5.55
"80",2020-02-29,"Connecticut","       160.9",-0.000621890547263693,"Manufacturing",-2,3.21773124834349,NA,11.11,5.55
"81",2020-02-29,"Connecticut","         0.6",0,"Mining and Logging",-2,3.21773124834349,NA,11.11,5.55
"82",2020-02-29,"Connecticut","        31.4",0,"Information",-2,3.21773124834349,NA,11.11,5.55
"83",2020-02-29,"Connecticut","       158.2",-0.00380710659898464,"Leisure and Hospitality",-2,3.21773124834349,NA,11.11,5.55
"84",2020-02-29,"Connecticut","       122.8",0.000813669650122084,"Financial Activities",-2,3.21773124834349,NA,11.11,5.55
"85",2020-02-29,"Connecticut","        60.6",0.00980392156862753,"Transportation and Utilities",-2,3.21773124834349,NA,11.11,5.55
"86",2020-02-29,"Connecticut","       216.8",0.0118505013673655,"Professional and Business Services",-2,3.21773124834349,NA,11.11,5.55
"87",2020-02-29,"Connecticut","        59.3",-0.00850340136054428,"Construction",-2,3.21773124834349,NA,11.11,5.55
"88",2020-02-29,"Connecticut","       235.8",0.00169348010160875,"Government",-2,3.21773124834349,NA,11.11,5.55
"89",2020-02-29,"Connecticut","        58.9",0,"Wholesale Trade",-2,3.21773124834349,NA,11.11,5.55
"90",2020-02-29,"Connecticut","       173.7",0.000575373993095596,"Retail Trade",-2,3.21773124834349,NA,11.11,5.55
"91",2020-02-29,"Connecticut","       351.6",-0.00228050171037641,"Education and Health Services",-2,3.21773124834349,NA,11.11,5.55
"92",2020-02-29,"Delaware","        27.0",0.0109890109890111,"Manufacturing",-1,3.53605221309303,NA,8.33,2.77
"93",2020-02-29,"Delaware","        18.5",-0.00543478260869579,"Transportation and Utilities",-1,3.53605221309303,NA,8.33,2.77
"94",2020-02-29,"Delaware","        11.1",0,"Wholesale Trade",-1,3.53605221309303,NA,8.33,2.77
"95",2020-02-29,"Delaware","        47.7",0.00209205020920489,"Financial Activities",-1,3.53605221309303,NA,8.33,2.77
"96",2020-02-29,"Delaware","        81.7",-0.00368550368550369,"Education and Health Services",-1,3.53605221309303,NA,8.33,2.77
"97",2020-02-29,"Delaware","        51.2",0,"Retail Trade",-1,3.53605221309303,NA,8.33,2.77
"98",2020-02-29,"Delaware","        64.6",0,"Professional and Business Services",-1,3.53605221309303,NA,8.33,2.77
"99",2020-02-29,"Delaware","        18.8",0,"Other Services",-1,3.53605221309303,NA,8.33,2.77
"100",2020-02-29,"Delaware","        52.8",0,"Leisure and Hospitality",-1,3.53605221309303,NA,8.33,2.77
"101",2020-02-29,"Delaware","         3.9",0,"Information",-1,3.53605221309303,NA,8.33,2.77
"102",2020-02-29,"Delaware","        67.4",-0.00447093889716865,"Government",-1,3.53605221309303,NA,8.33,2.77
"103",2020-02-29,"District of Columbia","         5.2",0,"Wholesale Trade",-1,7.61419294990724,NA,0,0
"104",2020-02-29,"District of Columbia","       174.5",-0.000573394495412716,"Professional and Business Services",-1,7.61419294990724,NA,0,0
